"site_code","Site","Date","Turbidity","TSS","ChlA","TC","TN","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","Field_DO_mgL","Field_Cond_µS_cm","Field_Temp_C","Lat","Long","Campaign","location_type","watershed","burn_status","WQ_sensor","flow_gauge_source","flow_gauge_id","distance_upstream_km","Watershed_Level","Buffer_Level","FCW_number","ROSS_number","chla_volume_ml","Year","time_mst","DT_mst_char","data_source"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2014-09-15,,,,,,2.71,0.14,7.59,346.52,40,1.41,0.02,0.72,1.01,5.3,0.05,0.36,0.07,0,1.92,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,1,,,2014,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2014-09-15,,,,,,2.48,0.21,7.5,274.41,43.3,1.25,0.01,0.54,1.03,5.65,0.19,0.2,0.38,0,5.44,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,3,,,2014,,,"RHOADES"
"PBR","Poudre Below Rustic",2014-09-15,,,,,,2.61,0.16,7.6,352.09,45.6,1.61,0.02,0.69,1.2,5.9,0.12,0.45,0.15,0,3.89,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,5,,,2014,,,"RHOADES"
"SFM","Poudre South Fork",2014-09-15,,,,,,3.3,0.15,7.56,334.83,41,2.57,0.03,0.61,1.15,4.67,0.14,0.54,0.02,0,2.38,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,6,,,2014,,,"RHOADES"
"PSF","Poudre Below S. Fork",2014-09-15,,,,,,2.63,0.15,7.61,515.51,46.6,1.79,0.03,0.68,1.22,5.85,0.12,0.49,0.1,0,3.81,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,7,,,2014,,,"RHOADES"
"PNF","Poudre Above North Fork",2014-09-15,,,,,,2.71,0.14,7.67,439.8,53,2.14,0.03,0.72,1.42,6.5,0.13,0.77,0.07,0,3.99,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,8,,,2014,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-01-16,,,,,,2.54,0.21,7.8,609.43,66.7,3.15,0.04,0.91,1.93,7.41,0.09,1.44,0.36,0,3.18,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,10,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-01-16,,,,,,2.8,0.21,7.78,594.17,65.8,3.4,0.02,0.84,1.89,7.22,0.12,1.35,0.49,0,3.4,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,11,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-01-16,,,,,,1.95,0.26,7.86,766.23,86,4.38,0.05,0.9,2.44,9.43,0.14,2.36,0.63,0,4.35,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,15,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-03-18,,,,,,2.48,0.15,7.79,594.41,64.8,3.16,0.02,0.89,1.84,7.05,0.09,1.55,0,0,2.86,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,17,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-03-18,,,,,,2.42,0.17,7.76,605.17,65.4,3.44,0.01,0.9,1.89,7.11,0.12,1.46,0.11,0,3.25,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,18,,,2015,,,"RHOADES"
