"","site_code","comid","distance_upstream_km"
"1","PBD",2900705,0
"2","PNF",2900989,7.471
"3","PSF",2899293,33.951
"4","SFM",2899835,53.476
"5","BEAV",2899995,61.499
"6","HORI",2899995,61.499
"7","COMO",2899995,61.499
"8","HORR",2899995,61.499
"9","HORO",2899995,61.499
"10","COMR",2900919,70.774
"11","COMI",2899959,72.236
"12","PBR",2899241,47.262
"13","SLEP",2899381,73.161
"14","PJW",2899875,80.916
"15","LNGO",2900761,98.705
"16","LNGR",2900947,100.445
"17","PTRO",2900921,91.236
"18","PTRR",2900921,91.236
"19","JWC",2899821,80.916
"20","BRNR",2900901,85.149
"21","BMD",2899911,84.049
"22","CHD",2899911,86.049
"23","CBRR",2900897,87.814
"24","CBRI",2900001,90.13
"25","JOER",2900923,93.218
"26","JOEI",2900149,95.264
"27","SAWM",2899973,90.13
"28","PMAN",2899311,10.851
"29","PFAL",2899607,77.122
"30","LBEA",2899835,53.476
"31","PENN",2900033,60.791
