site_code,DT_round,Date,time_mst,SampleType,chla_volume_ml,do_mgl,cond_ms_cm,temp_c,visit_comments
JOEI,2023-10-10T18:45:00Z,10/10/23,11:52,NORM,1000,NA,NA,NA,"Removed sonde, downloaded log 1005-1010, pulled sensor due to snow"
CBRI,2023-10-10T19:45:00Z,10/10/23,12:49,NORM,1000,NA,NA,NA,"Downloaded log, calibrated turb since most values were 0, calibration had hard time with 10 not 100. Started new log"
CHD,2023-10-10T20:45:00Z,10/10/23,13:52,NORM,1000,NA,NA,NA,"Lots of benthic algae at site, some on wiper. Downloaded logs, cleaned sensors and redeployed. Sampled"
JWC,2023-10-10T21:45:00Z,10/10/23,14:41,NORM,1000,NA,NA,NA,NA
LNGR,2023-10-16T16:00:00Z,10/16/23,9:00,NORM,1000,7.58,59.97,7.1,NA
LNGO,2023-10-16T16:30:00Z,10/16/23,9:30,NORM,1000,8.12,79.28,5,NA
PTRO,2023-10-16T17:30:00Z,10/16/23,10:30,NORM,750,7.98,45.3,4.8,NA
PTRR,2023-10-16T17:30:00Z,10/16/23,10:30,NORM,750,7.14,33.27,7.9,NA
JOEI,2023-10-16T18:45:00Z,10/16/23,11:45,NORM,1000,8.27,83.84,4.1,NA
JOER,2023-10-16T19:15:00Z,10/16/23,12:20,NORM,1000,6.93,52.73,9.8,NA
JOER,2023-10-16T19:15:00Z,10/16/23,12:20,BLANK,1000,6.93,52.73,9.8,NA
CBRI,2023-10-16T20:00:00Z,10/16/23,12:56,NORM,1000,7.94,65.73,5.7,"Updated software, downloaded log, cleaned, all working order, started new log, disconnect. Water much lower now, some algal growth on pipe but minimal"
CBRI,2023-10-16T20:00:00Z,10/16/23,12:56,DUPLICATE,1000,7.94,65.73,5.7,"Updated software, downloaded log, cleaned, all working order, started new log, disconnect. Water much lower now, some algal growth on pipe but minimal"
BMD,2023-10-16T20:45:00Z,10/16/23,13:45,NORM,1000,7.04,70.62,9.9,NA
BRNR,2023-10-16T21:00:00Z,10/16/23,14:00,NORM,1000,6.75,70.83,9.9,NA
CBRR,2023-10-16T21:30:00Z,10/16/23,14:30,NORM,1000,7.45,49.9,11.8,NA
CHD,2023-10-16T22:00:00Z,10/16/23,15:00,NORM,1000,7.43,51.53,8.3,"Updated vulink, downloaded log, cleaned sensors, less dirty than before, depth at .38 ft, redeployed, new log and disconnect. Battery at 40%."
COMR,2023-10-24T15:45:00Z,10/24/23,8:45,NORM,1000,8,35.8,3.1,NA
HORI,2023-10-24T16:15:00Z,10/24/23,9:15,NORM,1000,8.51,23.89,2,NA
COMO,2023-10-24T16:30:00Z,10/24/23,9:30,NORM,1000,8.14,34.57,4.3,NA
HORR,2023-10-24T17:00:00Z,10/24/23,10:00,NORM,500,7.33,28.16,6.9,NA
HORO,2023-10-24T17:15:00Z,10/24/23,10:15,NORM,500,7.54,28.2,7,NA
HORO,2023-10-24T17:15:00Z,10/24/23,10:15,DUPLICATE,750,7.54,28.2,7,NA
BEAV,2023-10-24T17:45:00Z,10/24/23,10:45,NORM,1000,8.2,40.03,5.3,NA
SFM,2023-10-24T21:45:00Z,10/24/23,14:48,NORM,1000,8.28,49.14,5.7,"Set up site on radio network, no log started unsure how it would afffect sdI12 settings. Main Params other than depth selected. Katie confirm radio at 1445 and 1545. Neg -9999 value in readings for some reason"
COMI,2023-10-25T00:00:00Z,10/24/23,16:57,NORM,1000,NA,NA,NA,NA
CBRI,2023-10-27T15:15:00Z,10/27/23,8:15,NORM,1000,8.7,65,2,Pulled sonde for season
CHD,2023-10-27T15:45:00Z,10/27/23,8:45,NORM,1000,8.02,53.21,5.9,Pulled sonde for season. Lots of benthic(spirogyro likely) growing in and around sensor. No ice
JWC,2023-10-27T16:45:00Z,10/27/23,9:45,NORM,1000,8.56,56.25,4.1,NA
PBR,2023-10-27T18:15:00Z,10/27/23,11:15,NORM,1000,9.39,82.62,2.9,NA
PSF,2023-10-27T18:45:00Z,10/27/23,11:45,NORM,1000,9.38,77.36,3.5,NA
PNF,2023-10-27T19:30:00Z,10/27/23,12:30,NORM,1000,9.67,85.35,4,NA
PBD,2023-10-27T19:45:00Z,10/27/23,12:50,NORM,1000,9.26,154,5.9,NA
PBD,2023-11-02T20:30:00Z,11/2/23,13:35,NORM,1000,9.46,106.1,4.9,NA
lincoln,2023-11-02T21:30:00Z,11/2/23,14:36,NORM,1000,9.95,223.9,7.6,NA
timberline,2023-11-02T22:15:00Z,11/2/23,15:20,NORM,1000,9.58,391.7,8.8,NA
archery,2023-11-02T23:15:00Z,11/2/23,16:16,NORM,1000,9.14,970.8,9.9,NA
boxcreek,2023-11-02T23:45:00Z,11/2/23,16:47,NORM,1000,7.73,2178,11.5,NA
prospect,2023-11-03T00:15:00Z,11/2/23,17:20,NORM,1000,8.83,371.2,8.5,NA
PBD,2023-11-07T15:00:00Z,11/7/23,7:59,NORM,1000,9.21,101.4,4.9,Filtered in RMRS
lincoln,2023-11-07T15:45:00Z,11/7/23,8:43,NORM,1000,9.15,315.2,6.7,Filtered in RMRS
timberline,2023-11-07T16:15:00Z,11/7/23,9:08,NORM,1000,8.58,757.2,8.4,Somehow did not take picture of chla filter. Filtered at rmrs
prospect,2023-11-07T16:45:00Z,11/7/23,9:41,NORM,1000,10.4,805.1,8.7,Filtered in RMRS
